LJ101-0001|Very soon now I shall be strong enough on my cyclone leg to resume my lessons in waltzing.
LJ146-0012|Its chief provisions were those that gave France the Rhine as frontier,
LJ146-0013|In the account given of the campaign of Italy the military operations have hitherto received nearly exclusive attention.
LJ146-0014|There are a few other matters, however, that deserve passing notice.
LJ146-0015|loosely disciplined, followed by a horde of needy and not over-scrupulous adventurers, made the people of Italy
LJ146-0016|Even Bonaparte, who from the point of view of military efficiency disliked and did his best to prevent license,
LJ146-0017|Enormous contributions of war were imposed, and these took the form, in part, of a seizure of the treasures of Italian art
LJ146-0018|How complacently he viewed this queerly won scientific distinction may be judged by the fact that, for several years after,
LJ146-0019|Notwithstanding the corruption that attended the contracts for the provisioning of the French army, it seems pretty clear
LJ146-0020|Large profits accrued to him legitimately in connection with prize money, but that was all.
LJ146-0021|When in the summer of 1797 there was fear of a new reactionary movement in Paris,
LJ146-0022|The purging process then carried out in the ranks of the Royalists and Conservatives is known as the revolution of Fructidor.
LJ146-0023|What is perhaps most important to note in this connection is the fact that the victorious army had now become the mainstay of the Republic.
LJ146-0024|The Revolution had swallowed up all that was best fitted to govern in the civil population of France,
LJ146-0025|In this connection it may be well to notice an important aspect of his remarkable personality:
LJ146-0026|he not only knew how to win a battle, but also how to make the most of it.
LJ146-0027|At that period newspapers were few and made little effort to obtain news at first hand.
LJ146-0028|His bulletins, written in a rhetorical style suited to the public and military taste of his day, rarely mentioned the general-in-chief,
LJ146-0029|gave the credit of every achievement to the soldiers, but never failed when expedient to distort and falsify facts,
LJ146-0030|Thus a perfectly deceptive legend began to come into existence from the first weeks of the campaign of Italy, and thus it was studiously continued,
LJ146-0031|covered with gilt lettering recording the sixty victories of the army he had commanded, the capture of one hundred and fifty thousand prisoners,
LJ146-0032|or more short-sighted man, to bid too openly for popular support. He declined to show himself in public, and
LJ146-0033|With him this was all a matter of calculation; he saw no real political opening for the present, or, as he put it,
LJ146-0034|The question was, how was he, now that the Continent was at peace, to keep himself before the public and earn new laurels?
LJ146-0035|The only hope of solving this question lay in the circumstances of the maritime war still proceeding with England.
LJ146-0036|But, as a result of the last war between France and England, there was an attractive theory firmly fixed in the public mind,
LJ146-0037|English commerce had been harried,
LJ146-0038|the American colonies had become the United States,
LJ146-0039|What was the explanation of this curious result?
LJ146-0040|It would be out of place here to discuss the economic aspects of this question; to state the opinion then generally accepted in France is all that is necessary.
LJ146-0041|That opinion was that the prosperity of Great Britain was chiefly due to her possession of and commerce with India;
LJ146-0042|therefore to deal an effective blow at Great Britain it was necessary to strike at India.
LJ146-0043|the only question with him was: How was India to be reached?
LJ146-0044|The sea route was that leading from the Atlantic round the extremity of Africa into the Indian Ocean;
LJ146-0045|the preponderance of England in naval strength placed this line of approach virtually under her control, and
LJ146-0046|The third line of approach, the most rapid and convenient, was that running through the Mediterranean to Egypt
LJ146-0047|His immediate aim was to establish the power of France in Egypt; his ulterior one not well defined.
LJ146-0048|He probably viewed as possible the eventual marching of an army from Egypt to the confines of India.
LJ146-0049|He gave orders for immediate disembarkation, took possession of Alexandria, and started the next day on the advance to Cairo, the capital of Egypt.
LJ146-0050|Nelson shaped his course direct for Egypt, crossed that of his opponents so close as nearly to sight them,
LJ146-0051|succeeded in getting part of his fleet between the enemy and the shore, and battering the motionless French ships from both sides,
LJ146-0052|The daring and skilful maneuver that had turned the French line and placed two British ships opposite each French one
LJ146-0053|Bonaparte and his army were now cut off from the world,
LJ146-0054|and that in a country where the stores necessary for a European army could not be procured.
LJ146-0055|as it was, Bonaparte and his thirty thousand men were in great jeopardy.
LJ146-0056|He proceeded, however, with his extraordinary enterprise with an imperturbable self-reliance that inspired all those with whom he came into contact.
LJ146-0057|Egypt was at that time a dependent province of the Turkish Empire ruled by a Bey and a dominant caste of military colonists
LJ146-0058|During the autumn and early winter months he was actively engaged in matters of administration and prepared
LJ146-0059|What that next move might have been is perhaps indicated by the fact that he dispatched a letter to an Indian prince then at war with Great Britain,
LJ146-0060|to treat as only vague purposes the sayings attributed to him at this period
LJ146-0061|Not one of them was based on any considerations in the least approaching the romantic.
LJ146-0062|In January 1799, he had to resume active warfare.
LJ146-0063|The Sultan decided to drive the French invaders out of his dominions, and for that purpose prepared two expeditions:
LJ146-0064|the other by land through Asia Minor.
LJ146-0065|Accordingly in January he marched across the desert from Egypt into Syria and after many hardships reached Jaffa,
LJ146-0066|There was some severe fighting, the town was stormed and captured, and the French accepted the surrender of some two thousand prisoners.
LJ146-0067|But the question at once arose: what was to be done with these men?
LJ146-0068|The army was short of food, and an arduous march through barren country lay before it.
LJ146-0069|If the prisoners consumed rations, it would mean privation, perhaps even starvation for the army; if they were released
LJ146-0070|It was a difficult problem, and was resolved in the safest but least merciful way:
LJ146-0071|This terrible incident has long been one of those most criticised in Bonaparte's career, yet
LJ146-0072|modern military writers do not hesitate to justify it on the ground
LJ146-0073|Is it not far more important to award blame for the waging of an unjust war, than for what is only a military incident, of debatable
LJ146-0074|The Turks, assisted by Captain Sidney Smith of the British navy, defended the town with the utmost resolution,
LJ146-0075|It was during this siege that a well-known incident occurred:
LJ146-0076|During these two months the French overran northern Palestine and fought numerous engagements against the Turks,
LJ146-0077|On the 20th of May the retreat began, and the army, after heavy losses and intense suffering,
LJ146-0078|Shortly afterwards he gave secret orders to have a small frigate got ready in the port of Alexandria, and on the 23rd of August
LJ146-0079|Had he commanded events and dates at the hand of Fate he could not have chosen better; for the pear was now exactly ripe.
LJ146-0080|One month later he was the master of France.
LJ147-0001|But the remainder of Australia, comprising about two-thirds of the continent, had not, as yet, been annexed by any European nation;
LJ147-0002|they, therefore, in that year, sent a detachment of soldiers to take formal possession of the country
LJ147-0003|From this early effort, however, no practical result ensued; and, during the few years of its existence,
LJ147-0004|2. Swan River.
LJ147-0005|Vlaming had seen this stream, and, astonished by the wonderful sight of thousands of jet black swans on its surface,
LJ147-0006|When he landed on the shore,
LJ147-0007|He began to have forebodings, but it was now too late—
LJ147-0008|the ships, containing eight hundred of the first settlers, were already close at hand; and, in the course of a week or two,
LJ147-0009|Exploring parties set out from time to time to examine the adjoining mainland; but, however fair it seemed from a distance,
LJ147-0010|The only port was at a place called Fremantle, where there was but little shelter from the storms of the open ocean;
LJ147-0011|But the site was not favourable to enterprise; an impassable bar stretched across the mouth of the river, which was, therefore,
LJ147-0012|In 1830 about a thousand new immigrants arrived; and towards the end of this year
LJ147-0013|3. Land Grants.
LJ147-0014|Most of these immigrants were attracted to Western Australia by the prospect of obtaining large estates;
LJ147-0015|At that time foolish notions were in every quarter prevalent as to what could be done by means of land.
LJ147-0016|Thus the Governor, instead of his yearly salary, was to receive a hundred thousand acres, and all the officials were to be paid in the same manner.
LJ147-0017|To induce immigrants to bring with them useful property,
LJ147-0018|quite unconscious of the future that lay before them--carried out great numbers of costly, though often unsuitable, articles,
LJ147-0019|It was found difficult to convey this property to the town, and much of it was left to rot on the shore, where carriages,
LJ147-0020|Splendid horses and cattle of the finest breed had been brought out, but they wandered useless in the bush.
LJ147-0021|For, till the country was surveyed, nothing could be done in the way of agriculture; and, even after the surveys were completed,
LJ147-0022|owing to a regulation that those whose grants exceeded a square mile should be allowed the first choice,
LJ147-0023|Many of these persons held a district almost as large as an English county, and, therefore,
LJ147-0024|The sections were pointed out on the maps, but the places themselves had never been trodden by a white man's foot,
LJ147-0025|Some, indeed, tried to settle upon these distant regions, but they were lonely and isolated, and many of them perished,
LJ147-0026|Yet there were very few who made any attempt at agriculture, and the costly ploughs and implements that had been imported
LJ147-0027|The horses and cattle died off,
LJ147-0028|which grew in patches over the country; and the men themselves were forced to loiter at Perth, consuming their provisions
LJ147-0029|He brought with him three hundred labourers; but the land was by no means so fertile as he had imagined,
LJ147-0030|and he had scarcely commenced his farming operations when he found that his only escape from ruin was to enter, single-handed,
LJ147-0031|5. Gloomy Prospects.
LJ147-0032|Matters grew worse and worse, and those of the disappointed colonists who had sufficient prudence to start before their means were all exhausted
LJ147-0033|either returned to Europe or sought the other colonies, where several achieved success— notably the brothers Henty,
LJ147-0034|The gloomy reports of those who reached England prevented any further accession of immigrants, and in 1835 it was rumoured,
LJ147-0035|In the following year (1836) the colony of South Australia was founded;
LJ147-0036|West Australia for forty years never enjoyed more than a transitory gleam of success.
LJ147-0037|Opinions were divided as to the reply which ought to be given:
LJ147-0038|while some were averse to the idea,
LJ147-0039|others believed that the money sent out by the British Government to maintain the convicts and soldiers would originate a trade
LJ147-0040|These arguments prevailed, and in 1849 the first shipload of convicts arrived.
LJ147-0041|From time to time new gangs were received, and the place began to be much more populous than before.
LJ147-0042|The shopkeepers in Perth became rich, and the farmer squatters of the surrounding districts found a ready market for their produce.
LJ147-0043|Yet this success was only partial; and there was nothing which might be said to constitute general prosperity.
LJ147-0044|In the little town of Fremantle, the few and scattered houses had still a rural aspect,
LJ147-0045|West Australia had now to suffer the consequences of having become a penal settlement.
LJ147-0046|Many of the convicts, on being liberated, took up their abode in the colony; but
LJ147-0047|These colonies were not inclined to suffer long in this manner; and, to defend themselves, they refused admission
LJ147-0048|Thus the colony at Swan River was branded, and held to be contaminated;
LJ147-0049|no free immigrants sought its shores, and many of its best inhabitants departed.
LJ147-0050|This stigma continued to rest on West Australia until the year 1868, when the transportation of criminals from Great Britain
LJ147-0051|Since that time it has, in a great measure, retrieved its character;
LJ147-0052|it is now doing what it can to attract free immigrants, and offers large tracts of pastoral land at low rentals,
LJ147-0053|It has joined Perth to Albany by a good railway, and several branch railways have been constructed,
LJ147-0054|as well as a large number of telegraph lines; and at Albany, the town on King George's Sound,
LJ147-0055|"But West Australia is still what it was called twenty years ago, ""the giant skeleton of a colony,"""
LJ147-0056|consisting of about forty thousand people, scattered over a hundred thousand square miles of territory,
LJ147-0057|Up to 1870 it formed what was called a Crown colony:
LJ147-0058|the people had no voice in their own government; their affairs were managed for them by the officers of the English Government.
LJ147-0059|At that date, however, when transportation was abolished, the colony was promoted to the partial management of its own affairs, and the people
LJ147-0060|In 1890 it was still further promoted, being raised to the full dignity of an independent colony,
LJ147-0061|Perth is now rapidly increasing, and the colony is on the eve of its palmy days.
LJ148-0001|The personality of the Buddha invites comparison with the founders of the other world-religions, Christ and Mohammed.
LJ148-0002|We are tempted to ask too if there is any resemblance between him and Confucius, a contemporary Asiatic
LJ148-0003|whose influence has been equally lasting, but here there is little common ground. For Confucius's interest
LJ148-0004|was mainly in social and ethical problems, not in religion.
LJ148-0005|He laid stress on those ties of kinship and society, respecting which the Indian monk (like Christ) sometimes spoke harshly,
LJ148-0006|although there is a strong likeness between the moral code of the Buddhist layman and Confucianism: he was full of humility and respect for antiquity,
LJ148-0007|There are some curious coincidences of detail between the Buddha and Confucius.
LJ148-0008|(Analects XI 11), just as the Buddha held it unprofitable to discuss the fate of the saint after death.
LJ148-0009|Neither had any great opinion of the spirits worshipped in their respective countries.
LJ148-0010|But with Mohammed
LJ148-0011|comparison, or rather contrast, is easier.
LJ148-0012|both lived to be elderly men and possessed great authority.
LJ148-0013|But there the analogy ends.
LJ148-0014|Perhaps no single human being has had so great an effect on the world as Mohammed.
LJ148-0015|His achievements are personal and, had he never lived, it is not clear
LJ148-0016|No one else has been able to fuse the two noble instincts of religion and empire in so perfect a manner,
LJ148-0017|He was aided in this by the temper of his times.
LJ148-0018|Though he was of the warrior caste and naturally brought into association with princes, he was not on that account tempted to play a part
LJ148-0019|in politics, for to the Hindus, then as now, renunciation of the world was indispensable for serious religion
LJ148-0020|There was clearly a party which wished to make the rule of his order more severe and, had he consented, the religious world of his day would have approved.
LJ148-0021|He will not for instance direct or even recommend his disciples to be hermits.
LJ148-0022|"""Whoever wishes may dwell in a wood and whoever wishes may dwell near a village."""
LJ148-0023|It is true that the order decided to make no use of this permission, but the spirit which dictated it has shaped the destinies of the faith.
LJ148-0024|Akin to this contrast is another—
LJ148-0025|Such ideas were unknown to Gotama.
LJ148-0026|He laboured not for his own or his Creator's glory but simply and solely to benefit mankind.
LJ148-0027|Conversion by force had no meaning for him, for what he desired was not a profession of allegiance but a change of disposition
LJ148-0028|Both were truly spiritual teachers who rose above forms and codes:
LJ148-0029|both accepted the current ideals of their time and strove to become the one a Buddha, the other Messiah.
LJ148-0030|He lived nearly fifty years longer and had ample opportunity of putting his ideas into practice.
LJ148-0031|So far as our meagre traditions allow us to trace the development of the two, the differences are even more fundamental.
LJ148-0032|Peaceful as was the latter part of Gotama's life, the beginning was a period of struggle and disillusion.
LJ148-0033|He broke away from worldly life to study philosophy:
LJ148-0034|he broke away from philosophy to wear out his body with the severest mortification;
LJ148-0035|that again he found to be vanity and only then did he attain to enlightenment.
LJ148-0036|And though he offers salvation to all without distinction, he repeatedly says that it is difficult: with hard wrestling
LJ148-0037|As a youth he grew up in a poor family where the disenchantment of satiety was unknown:
LJ148-0038|his genius first found expression in sermons delivered in the synagogue—
LJ148-0039|the temptation, though it offers analogies to Gotama's mental struggle and particularly to the legends about Mara, was not
LJ148-0040|He gives no explanations and leaves no feeling that they are necessary.
LJ148-0041|He is free in his use of metaphor and chary of definition.
LJ148-0042|The teaching of the Buddha on the other hand is essentially intellectual.
LJ148-0043|The nature and tastes of his audience were a sufficient justification for his style,
LJ148-0044|Sick people naturally turned to him:
LJ148-0045|they were brought to him when he arrived in a town.
LJ148-0046|Nor do we find ascribed to him that love of children and tenderness towards the weak and erring
LJ148-0047|He had no prejudices:
LJ148-0048|When he accepted invitations he did not so much join in the life of the family which he visited as convert the entertainment offered to him
LJ148-0049|Yet in propaganda and controversy he was gracious and humane beyond the measure of all other teachers.
LJ148-0050|but from the very commencement of his mission he is at enmity with what he calls the world.
LJ148-0051|The world is evil and a great event is coming of double import, for it will bring disaster on the wicked as well as happiness for the good.
LJ148-0052|He is angry with the world because it will not hear him.
LJ148-0053|"He declares that it hates him and the gospel according to St John even makes him say, ""I pray not for the world,"
LJ148-0054|The little towns of Galilee are worse in his eyes than the wicked cities of antiquity because they are not impressed by his miracles, and
LJ148-0055|The shadow of impending death fell over the last period of his ministry and he felt that he was to be offered as a sacrifice.
LJ148-0056|He thought of it as unsatisfactory and transitory rather than wicked, as ignorant rather than rebellious.
LJ148-0057|He troubled little about people who would not listen.
LJ148-0058|The calm and confidence which so many narratives attribute to him rarely failed to meet with the respect which they anticipated.
LJ148-0059|In his life there is no idea of sacrifice, no element of the tragic, no nervous irritability.
LJ148-0060|The saying is perhaps not historical but it illustrates Indian sentiment.
LJ148-0061|In his previous existences, when preparing for Buddhahood, he had frequently given his life for others,
LJ148-0062|not because it was any particular good to them but in order to perfect his character for his own great career
LJ148-0063|It would be simply the destruction of the more valuable for the less valuable.
LJ148-0064|But though his maxims are the perfect expression of courtesy and good feeling with an occasional spice of paradox,
LJ148-0065|such as the command to love one's enemies, yet the experience of nearly twenty centuries has shown
LJ148-0066|The churches which give themselves his name preach with rare exceptions that soldiering, financing and the business of government—
LJ148-0067|whether he would not, had his life been prolonged, have seen that many of his precepts, such as turning the other cheek and not resisting evil,
LJ148-0068|The monastic orders of the Roman and Eastern Churches show that such a need was felt.
LJ148-0069|It is perhaps the privilege of genius to see the goal by intuition:
LJ148-0070|the road and the vehicle are subsidiary and may be varied to suit the minds of different nations.
LJ148-0071|He purged Jehovah of his jealousy and prejudices
LJ148-0072|Such ideas lie outside the sphere of Gotama's thought and he would probably have asked why on this hypothesis
LJ148-0073|That is a question which the Gospels are chary of discussing but they seem to indicate
LJ148-0074|A godly world would be a happy world.
LJ148-0075|Neither appears to have had much taste for theology or metaphysics.
LJ148-0076|the Buddha said categorically that such speculations are vain.
LJ148-0077|Indeed it is probably a general law in religions that the theological phase does not begin until the second generation,
LJ148-0078|He himself sees clearly and says plainly what mankind ought to do.
LJ148-0079|Neither the Buddha, nor Christ, nor Mohammed cared for much beyond this, and such of their sayings as have reference to the whence, the whither
LJ148-0080|and the why of the universe are obscure precisely because these questions do not fall within the field
LJ148-0081|Argumentative as the Buddhist suttas are, their aim is strictly practical, even when their language appears scholastic,
LJ148-0082|Men are unhappy because of their foolish desires:
LJ148-0083|The law-books and sacrifices to which Brahmans and Pharisees devoted time and study are simply left on one side.
LJ148-0084|The former are replaced by injunctions to cultivate a good habit of mind,
LJ148-0085|such as is exemplified in the Eightfold Path and the Beatitudes, the latter by some observances of extreme simplicity,
LJ148-0086|In both cases subsequent generations felt that the provision made by the Founders was inadequate and
LJ148-0087|This summary is not in the manner of Gotama and though love (metta) has an important place in his teaching,
LJ148-0088|For both words love is rather too strong a rendering and charity too weak.
LJ148-0089|The Christian nations of Europe are more inclined to action than the Buddhist nations of Asia,
LJ148-0090|Those declared blessed are the poor, the mourners, the meek, the hungry, the pure and the persecuted.
LJ148-0091|Money and taxes are the affair of those who put their heads on coins;
LJ148-0092|God and the things which concern him have quite another sphere.
LJ149-0001|Not content with forcing us to close our lips to liquor, the Prohibitionists recently sent out a request, which amounted to an order,
LJ149-0002|We were to be denied the blessed privilege of laughing at ourselves, even!
LJ149-0003|I suppose that a few fanatics— oh, merely to study life, bless their hearts!— had gone into a vaudeville theater
LJ149-0004|and had been incensed at the ribaldry of the actors and the shrieks of mirth of the audience over Prohibition wheezes.
LJ149-0005|I have seen an assemblage in convulsions when some light mention was made of Mr. Volstead; and whenever a flask is displayed on the screen of some movie house,
LJ149-0006|Our comic weeklies and newspaper supplements continue to print Prohibition jokes, much to the delight of their readers.
LJ149-0007|One fearless periodical, Judge, has come out openly for light wines and beer— and lost a valued contributor thereby.
LJ149-0008|Another paper, on the contrary, solemnly prints this editorial, headed “There Are Jokes and Jokes”:
LJ149-0009|“A great concern operating vaudeville theaters in most of the large cities has issued an order that all performers must cut out their jokes about Prohibition.
LJ149-0010|The outstanding fact about Prohibition seems to be that people forget that it came about through an amendment to the United States Constitution.”
LJ149-0011|Are we to have that luxury taken from us too?
LJ149-0012|It looks that way.
LJ149-0013|Yet no law can control people’s innermost feelings.
LJ149-0014|No request— amounting to an order— can coerce a nation to do something it is not impelled to do, of itself.
LJ149-0015|One remembers a sad time, not so long ago, when we were begged to remain neutral in thought, word and deed;
LJ149-0016|and notices were printed in theater programs, urging us to make no demonstration when the troops of the Allies crossed the screen;
LJ149-0017|Yet there was a burst of applause or a burst of hisses, just the same.
LJ149-0018|The minds of a people cannot be controlled. It is nonsense to try to control them.
LJ149-0019|Now the fanatics would seek to rob us of the joy of laughter.
LJ149-0020|For of course they despise and detest laughter. Laughter— ridicule— is a sword that can be used against them.
LJ149-0021|We can make this whole business of Prohibition so ludicrous that we can laugh it out of the statutes.
LJ149-0022|Guffaws have disturbed many a solemn meeting; and a single cartoon has broken many a promising politician.
LJ149-0023|One may be able to stand up against a serious argument; but lampooning has destroyed even men of genius.
LJ149-0024|Everyone was going to sit still and take it very seriously, just as the Prohibitionists had planned.
LJ149-0025|The lid was on, and on it would remain— forever and ever.
LJ149-0026|Puritans have no sense of humor, or they would not be Puritans.
LJ149-0027|They had not dreamed that someone would overturn the can on which the lid was placed, and, through sheer joy of living, shout and sing as of old.
LJ149-0028|The habits of generations cannot be changed in a moment.
LJ149-0029|We had laid aside a little supply of jollity, and the word would go about that So-and-so had a large enough and deep enough cellar
LJ149-0030|One of the strange things about Prohibition was the fact that, with its coming, everyone imagined that everyone else would turn miser concerning treating.
LJ149-0031|But here again the human element was forgotten.
LJ149-0032|An aristocracy has arisen that even serves liqueurs after coffee— as though a plethora of creme de menthe and
LJ149-0033|The proverbial generosity of the American was never more in evidence.
LJ149-0034|They are the outcasts of a new society, the lowest form of hanger-on. Of course they are not nearly so numerous as of old;
LJ149-0035|And so the laughter goes on; but even when the reformers do not hear it, they writhe, knowing of its existence.
LJ149-0036|Once in a great while some echo reaches them, no doubt. Things have not “straightened out” as they had anticipated;
LJ149-0037|and so they squirm, and rage, and puff up, and devise ways and means to call a complete halt on all merriment,
LJ149-0038|In all seriousness a woman’s temperance society sent a mandate to every editor in the United States not long ago, bidding them
LJ149-0039|And every government official, when he gets up at a banquet to make a speech, begs his hearers to heed the law—
LJ149-0040|It is a sad commentary on our government when it is necessary thus to address the people.
LJ149-0041|“We must be one people, one union— and that the American Union,”
LJ149-0042|“Whenever a newspaper ridicules a law, plays up a policy of contempt for law and its enforcement and
LJ149-0043|that newspaper is doing more to destroy American institutions than a Federal Judge can do to maintain them...
LJ149-0044|No man in public life who is possessed of vision and realizes his responsibility to Government would favor regulation of the public press by law,
LJ149-0045|but it is obvious that the power of the press must not be used to foster disrespect for our Government
LJ149-0046|Free speech will not be tolerated, if the fanatics have their way.
LJ149-0047|Yet the first article in the Amendments to the Constitution says: “
LJ149-0048|Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof;
LJ149-0049|or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government
LJ149-0050|But to get back for a moment to the ladies of the something-or-other temperance society.
LJ149-0051|A brilliant writer, Mr. Edward S. Martin, answered them delightfully in Harper’s Magazine; and with the kind permission of the editors of that periodical,
LJ149-0052|Mr. Martin never loses his temper, as the ladies certainly did. He remains, as ever, the tactful, urbane,
LJ149-0053|He does not even frown. He speaks from a long experience, gently but to the point:
LJ149-0054|“The enforcement of Prohibition meets with some obstacles and furnishes food for thought to two large groups in the community—
LJ149-0055|Just at the moment it seems as if the people who want a drink are somewhat ahead of the other group in the competition;
LJ149-0056|at any rate, the group that wants enforcement seems to think it necessary to make extra effort.
LJ149-0057|To Harper’s Magazine, as doubtless to hundreds of other periodicals, has come a communication from the Committee for Prohibition Enforcement
LJ149-0058|The sixth item runs, ‘That every theatrical manager, movie manager, and editor, whether of a daily, weekly
LJ149-0059|or monthly publication, be requested to see that all jokes ridiculing Prohibition and its enforcement
LJ149-0060|are eliminated from any production, film, or article coming under his jurisdiction, and that the matter be treated
LJ149-0061|with that seriousness that the subject merits; and that this resolution be thrown on the screen
LJ149-0062|“The demand for protection from jokes is often made and always implies that there is something that needs to be joked about.
LJ149-0063|There is a sin called ‘sacrilege.’
LJ149-0064|If we joke about things that are sacred to enough people, it gives a kind of offense which, even if the law does not punish it, it is not safe to excite.
LJ149-0065|There is a sin of blasphemy, which we suppose the law will still punish if it is gross enough.
LJ149-0066|It will be agreed that
LJ149-0067|Are amendments of the Constitution and the Volstead law to rank with the Ten Commandments and the Sermon on the Mount
LJ149-0068|“Something like that seems to be in the minds of the women whose communication we have received, who include item six in their program,
LJ149-0069|A constitutional amendment is not sacred, much less a Volstead Act.
LJ149-0070|It is the Volstead law that the jokes on Prohibition are aimed at more than the amendment.
LJ149-0071|If a law is bad, one of the ways to beat it is to laugh it out of court.
LJ149-0072|If that is being done about the Volstead law, the ladies who want that law enforced would do well to examine it
LJ149-0073|“A letter writer to a newspaper says, ‘If it is true that a community gets the kind of government it deserves,
LJ149-0074|His assertion may be disputed, but still, if the Volstead law is not being respected, is it certain that it deserves respect?
LJ149-0075|It is a law in the process of being tried out.
LJ149-0076|If it is good we want it enforced.
LJ149-0077|If it is bad we want it amended,
LJ149-0078|but we do not want to be choked off from discussing it or testing it.
LJ149-0079|There is no power in Congress to say what is right or wrong.
LJ149-0080|The most that Congress can do is to say what is lawful or unlawful.
LJ149-0081|The distinction is important.
LJ149-0082|The practical judge of whether a law is right or wrong is the general community to which the law applies.
LJ149-0083|It is yet to be demonstrated how far the Volstead law, as it stands, is enforceable.
LJ149-0084|If its fruits do not please a majority of the people who live under it, it may have to be modified so that it will stand for something
LJ149-0085|There is a great deal of good in the present Prohibition movement. It put the saloons out of business.
LJ149-0086|It checked the brewers and distillers in their over-strenuous efforts to sell their products. It accomplished
LJ149-0087|But it was necessarily a rough job—
LJ149-0088|an experiment to be tried out in practice.
LJ149-0089|If its rules need modification, they may get it or they may not, but if not, they may be practically modified in enforcement.
LJ149-0090|“Who is boss in this country?
LJ149-0091|Is it the President, the Senate,
LJ149-0092|Public opinion is the boss.
LJ149-0093|In the long run, what public opinion demands it gets.
LJ149-0094|Laws to be of any worth have to have sanction.
LJ149-0095|That is, there must be something to make people who violate them feel that they are doing wrong.
LJ149-0096|The laws of nature have abundant sanction.
LJ149-0097|If you fool with the law of gravitation, you get bumped.
LJ149-0098|There is no trouble about the enforcement of the law of gravitation.
LJ149-0099|Nobody goes around begging you not to ridicule it.
LJ149-0100|It takes care of itself, and if you flout it you pay the consequences.
LJ149-0101|The Ten Commandments have a sanction of long experience.
LJ149-0102|Some of them are obsolete, but the others are respected, and, though they are not directly enforced by the courts,
LJ149-0103|Public opinion hereabouts rests very considerably on the Ten Commandments.
LJ149-0104|They have shaped the habits of thought and deportment of many millions of people, including most of those now living in this country.
LJ149-0105|“The trouble with the present enforcement of Prohibition is that it has not yet got moral sanction enough to make it effective.
LJ149-0106|Public opinion will back up the law in closing the saloons and restricting and regulating the sale of intoxicants, but it does not follow it,
LJ149-0107|When it comes to that, public opinion laughs, because that is contrary to its experience.
LJ149-0108|public opinion shows as yet no particular fervor about achieving a total stoppage of alcoholic supplies from those who want them.
LJ149-0109|No serious stigma attaches to violations of the Volstead law by private buyers.
LJ149-0110|Fines and like embarrassments may result, but not disrepute.
LJ149-0111|A good many fairly decent people seem to buy what they want, and do not conceal it.
LJ149-0112|The people who thought before the law was adopted that it was wicked or inexpedient to drink intoxicants, still think so.
LJ149-0113|The people who thought otherwise continue to think otherwise.
LJ149-0114|Many people drink less than before the law began to operate, but a good many other people drink more,
LJ149-0115|To some extent Prohibition seems to have made drinking popular by diminishing the individual discouragement of it
LJ149-0116|That may be only a temporary effect, but if it turns out that the Volstead law, as it is, cannot be enforced at the present time,
LJ149-0117|there may possibly be an effort to tinker it-- to put it into such shape that public opinion will stand back of it and give it a sanction.
LJ149-0118|The alternative would be to wait and see what effect time will have on men and habits.
LJ149-0119|There is no one to tell us that we shall be damned if we disobey the Volstead law, and
LJ149-0120|“The organizations, political, commercial, religious, that seek to shape public opinion all use propaganda.
LJ149-0121|We all know what that means because we have all had such a surfeit of it.
LJ149-0122|It is put out by speakers, on the movie screens and in print wherever possible.
LJ149-0123|Organization secured Prohibition, but organization is not public opinion and may for a time override it.
LJ149-0124|Organization works on the run with noise and big headlines and meetings and even with threats.
LJ149-0125|Public opinion slowly takes form in the minds of individuals.
LJ149-0126|There comes in Lincoln’s saying about the impossibility of fooling all the people all the time.
LJ149-0127|It digests what has been offered to it.
LJ149-0128|The common facts of life continue to appeal to it and impress it. It views what propaganda has accomplished and
LJ150-0001|Lief invited his father, Eric, to become the leader of the expedition, but Eric declined, saying that he was then stricken in years,
LJ150-0002|Lief replied that he would, nevertheless, be the one who would be most apt to bring good luck, and Eric yielded
LJ150-0003|Great ice mountains lay inland back from the sea, and it was as a table-land of flat rock all the way from the sea
LJ150-0004|They returned to the ship, put out to sea, and found a second land.
LJ150-0005|This was a level wooded land; and there were broad stretches of white sand where they went, and the land was level by the sea.
LJ150-0006|"""This land shall have a name after its nature; and we will call it Markland."""
LJ150-0007|There they went ashore and looked about them, the weather being fine, and they observed that there was dew upon the grass, and
LJ150-0008|it so happened that they touched the dew with their hands, and touched their hands to their mouths, and it seemed to them that they had never before
LJ150-0009|"Then one of the men spoke up and said, ""Why do you steer the ship so much into the wind?"""
LJ150-0010|"Lief answers: ""I have my mind upon my steering, but on other matters as well."
LJ150-0011|They replied that they saw nothing strange.
LJ150-0012|"""I do not know,"" says Lief,"
LJ150-0013|"""whether it is a ship or a skerry that I see."""
LJ150-0014|Now they saw it, and said that it must be a skerry; but he was so much keener of sight than they that he was able to discern men upon the skerry.
LJ150-0015|They approached the skerry, and, lowering their sail, cast anchor, and launched a second small boat, which they had brought with them.
LJ150-0016|Tyrker inquired who was the leader of the party.
LJ150-0017|He replied that his name was Thori, and that he was a Norseman;
LJ150-0018|Lief responded that he was.
LJ150-0019|He was afterward called Lief the Lucky.
LJ150-0020|Lief had now a goodly store both of property and honor.
